status_id,category
1.03022E+18,DOUBTFUL
1.03641E+18,NON_SEXIST
1.05698E+18,NON_SEXIST
1.0674E+18,NON_SEXIST
1.04944E+18,SEXIST
1.04323E+18,NON_SEXIST
1.06068E+18,NON_SEXIST
1.04723E+18,DOUBTFUL
1.03283E+18,DOUBTFUL
1.04943E+18,DOUBTFUL
1.02726E+18,NON_SEXIST
1.05267E+18,SEXIST
1.02479E+18,NON_SEXIST
1.0537E+18,NON_SEXIST
1.01525E+18,NON_SEXIST
1.05086E+18,SEXIST
1.03691E+18,NON_SEXIST
1.0425E+18,NON_SEXIST
1.01562E+18,SEXIST
1.01542E+18,SEXIST
1.06284E+18,NON_SEXIST
1.04003E+18,SEXIST
1.05293E+18,SEXIST
1.05063E+18,SEXIST
1.05993E+18,SEXIST
1.078E+18,NON_SEXIST
1.0216E+18,SEXIST
1.05111E+18,SEXIST
1.01503E+18,DOUBTFUL
1.05596E+18,NON_SEXIST
1.01383E+18,NON_SEXIST
1.03956E+18,NON_SEXIST
1.01754E+18,NON_SEXIST
1.0153E+18,SEXIST
1.0337E+18,NON_SEXIST
1.0271E+18,NON_SEXIST
1.03013E+18,SEXIST
1.05822E+18,SEXIST
1.02792E+18,NON_SEXIST
1.01857E+18,NON_SEXIST
1.01779E+18,NON_SEXIST
1.04764E+18,SEXIST
1.03306E+18,NON_SEXIST
1.04384E+18,NON_SEXIST
1.02218E+18,SEXIST
1.01454E+18,SEXIST
1.07029E+18,SEXIST
1.04701E+18,SEXIST
1.02209E+18,NON_SEXIST
1.02653E+18,SEXIST
1.02009E+18,NON_SEXIST
1.04651E+18,NON_SEXIST
1.0542E+18,NON_SEXIST
1.06572E+18,SEXIST
1.04595E+18,SEXIST
1.06574E+18,DOUBTFUL
1.05666E+18,NON_SEXIST
1.02284E+18,NON_SEXIST
1.06715E+18,NON_SEXIST
1.06034E+18,SEXIST
1.0353E+18,NON_SEXIST
1.07091E+18,NON_SEXIST
1.06281E+18,SEXIST
1.0447E+18,NON_SEXIST
1.05298E+18,NON_SEXIST
1.01428E+18,NON_SEXIST
1.02161E+18,NON_SEXIST
1.02993E+18,SEXIST
1.03899E+18,DOUBTFUL
1.05051E+18,NON_SEXIST
1.05991E+18,NON_SEXIST
1.06427E+18,NON_SEXIST
1.05404E+18,SEXIST
1.04364E+18,SEXIST
1.01657E+18,SEXIST
1.04067E+18,NON_SEXIST
1.02388E+18,NON_SEXIST
1.05558E+18,NON_SEXIST
1.03998E+18,NON_SEXIST
1.04219E+18,NON_SEXIST
1.01746E+18,NON_SEXIST
1.02513E+18,NON_SEXIST
1.02008E+18,DOUBTFUL
1.02815E+18,SEXIST
1.06467E+18,NON_SEXIST
1.065E+18,SEXIST
1.0708E+18,DOUBTFUL
1.07477E+18,SEXIST
1.04071E+18,NON_SEXIST
1.07122E+18,NON_SEXIST
1.04458E+18,NON_SEXIST
1.04472E+18,SEXIST
1.02189E+18,SEXIST
1.06063E+18,NON_SEXIST
1.04467E+18,NON_SEXIST
1.02109E+18,SEXIST
1.02714E+18,DOUBTFUL
1.03373E+18,NON_SEXIST
1.07522E+18,NON_SEXIST
1.0581E+18,SEXIST
1.06015E+18,SEXIST
1.0357E+18,NON_SEXIST
1.04569E+18,NON_SEXIST
1.02183E+18,NON_SEXIST
1.04472E+18,NON_SEXIST
1.07371E+18,SEXIST
1.01639E+18,DOUBTFUL
1.0556E+18,NON_SEXIST
1.05606E+18,SEXIST
1.04683E+18,NON_SEXIST
1.07545E+18,NON_SEXIST
1.04821E+18,SEXIST
1.05119E+18,NON_SEXIST
1.02621E+18,NON_SEXIST
1.05049E+18,NON_SEXIST
1.05522E+18,NON_SEXIST
1.02846E+18,SEXIST
1.03589E+18,NON_SEXIST
1.05558E+18,DOUBTFUL
1.02429E+18,NON_SEXIST
1.03894E+18,NON_SEXIST
1.01568E+18,NON_SEXIST
1.04834E+18,NON_SEXIST
1.01428E+18,NON_SEXIST
1.04331E+18,DOUBTFUL
1.07792E+18,NON_SEXIST
1.05001E+18,NON_SEXIST
1.01936E+18,NON_SEXIST
1.02788E+18,NON_SEXIST
1.04747E+18,DOUBTFUL
